C,Story,Emotion,Val
0.11,Boredom,Boredom,0.993101165576651
0.11,Boredom,Fear,0.00103082801740606
0.11,Boredom,Happiness,0.00014469814364043152
0.11,Boredom,Joy,0.0002772307451611731
0.11,Boredom,Pride,0.0003041766510835081
0.11,Boredom,Sadness,0.0027024415687753995
0.11,Boredom,Shame,0.002439459297282352
0.11,Boredom,Boredom,0.9957307872639996
0.11,Boredom,Fear,0.0008047974674319896
0.11,Boredom,Happiness,7.747128883583302e-05
0.11,Boredom,Joy,8.839092977797083e-05
0.11,Boredom,Pride,3.439611595970902e-05
0.11,Boredom,Sadness,0.0026460418220044615
0.11,Boredom,Shame,0.0006181151119901478
0.11,Boredom,Boredom,0.9924114894788163
0.11,Boredom,Fear,0.0003728786863411366
0.11,Boredom,Happiness,0.0021094841641387876
0.11,Boredom,Joy,0.0006818061150040434
0.11,Boredom,Pride,0.0015793333213206353
0.11,Boredom,Sadness,0.0006070292671700962
0.11,Boredom,Shame,0.0022379789672089547
0.11,Boredom,Boredom,0.9962324579924147
0.11,Boredom,Fear,0.0005612620541624117
0.11,Boredom,Happiness,0.00014417423091938746
0.11,Boredom,Joy,0.0005586528368459119
0.11,Boredom,Pride,0.0005416647360119942
0.11,Boredom,Sadness,0.0005807083268041168
0.11,Boredom,Shame,0.0013810798228416612
0.11,Boredom,Boredom,0.9981856520917494
0.11,Boredom,Fear,0.0005427491225367434
0.11,Boredom,Happiness,2.5632616309950937e-05
0.11,Boredom,Joy,0.0002168335645885967
0.11,Boredom,Pride,0.00012116901413571871
0.11,Boredom,Sadness,0.0005044804253272644
0.11,Boredom,Shame,0.00040348316535237795
0.11,Boredom,Boredom,0.9895142614242854
0.11,Boredom,Fear,0.001249388457060636
0.11,Boredom,Happiness,0.0006894018719328657
0.11,Boredom,Joy,0.00022876360140889463
0.11,Boredom,Pride,0.0002553209973168527
0.11,Boredom,Sadness,0.0051577334489280825
0.11,Boredom,Shame,0.002905130199066987
0.11,Boredom,Boredom,0.9966748544375522
0.11,Boredom,Fear,0.00040106506241024145
0.11,Boredom,Happiness,0.00024298387152867068
0.11,Boredom,Joy,0.0005542283531499959
0.11,Boredom,Pride,0.0006229431825139134
0.11,Boredom,Sadness,0.00045608706263882136
0.11,Boredom,Shame,0.0010478380302062482
0.11,Boredom,Boredom,0.9505791138227926
0.11,Boredom,Fear,0.00026883007725372513
0.11,Boredom,Happiness,0.03983701668608334
0.11,Boredom,Joy,0.0016848398023155547
0.11,Boredom,Pride,0.005906751067474003
0.11,Boredom,Sadness,0.00022895274808173503
0.11,Boredom,Shame,0.0014944957959990715
0.11,Boredom,Boredom,0.9972046542331975
0.11,Boredom,Fear,0.0006511174332492029
0.11,Boredom,Happiness,5.187942004817391e-05
0.11,Boredom,Joy,0.00043032477608974883
0.11,Boredom,Pride,0.0002626745188916859
0.11,Boredom,Sadness,0.0007557735732071544
0.11,Boredom,Shame,0.0006435760453171044
0.11,Boredom,Boredom,0.9985683630734744
0.11,Boredom,Fear,0.0001409288834515305
0.11,Boredom,Happiness,7.514117466407244e-05
0.11,Boredom,Joy,0.0003839104564762108
0.11,Boredom,Pride,0.0003589499912327009
0.11,Boredom,Sadness,9.17712864170283e-05
0.11,Boredom,Shame,0.00038093513428381134
0.11,Fear,Boredom,0.00026821539898552114
0.11,Fear,Fear,0.9960228344499442
0.11,Fear,Happiness,0.0003043054416863553
0.11,Fear,Joy,0.00045277651793832976
0.11,Fear,Pride,0.0005242040258629427
0.11,Fear,Sadness,0.000562629251079993
0.11,Fear,Shame,0.0018650349145025993
0.11,Fear,Boredom,0.0003798039017667424
0.11,Fear,Fear,0.9903503029554765
0.11,Fear,Happiness,0.0004625779872346299
0.11,Fear,Joy,0.0007193540713011367
0.11,Fear,Pride,0.0008778834035543234
0.11,Fear,Sadness,0.0007673375460653175
0.11,Fear,Shame,0.006442740134600772
0.11,Fear,Boredom,0.00037025516156608695
0.11,Fear,Fear,0.9859971488702498
0.11,Fear,Happiness,0.0004713203419581294
0.11,Fear,Joy,0.0009553967922268473
0.11,Fear,Pride,0.0011081161571489184
0.11,Fear,Sadness,0.0006135855788114023
0.11,Fear,Shame,0.010484177098038755
0.11,Fear,Boredom,0.0002038949594212638
0.11,Fear,Fear,0.9919927045170972
0.11,Fear,Happiness,0.00032054540993239954
0.11,Fear,Joy,0.0008814699998366215
0.11,Fear,Pride,0.000931178842880702
0.11,Fear,Sadness,0.00046430020596771826
0.11,Fear,Shame,0.00520590606486388
0.11,Fear,Boredom,0.00038026611438381935
0.11,Fear,Fear,0.9890090483725981
0.11,Fear,Happiness,0.000491139858031955
0.11,Fear,Joy,0.0005136783884957401
0.11,Fear,Pride,0.0007051146523652682
0.11,Fear,Sadness,0.0020485744504965308
0.11,Fear,Shame,0.0068521781636285885
0.11,Fear,Boredom,0.0003648163124730056
0.11,Fear,Fear,0.993569469371188
0.11,Fear,Happiness,0.00041390824555365927
0.11,Fear,Joy,0.0004154835349482798
0.11,Fear,Pride,0.0005479319830834516
0.11,Fear,Sadness,0.0014239063865567304
0.11,Fear,Shame,0.003264484166196798
0.11,Fear,Boredom,0.00014915070159559027
0.11,Fear,Fear,0.9941546569224705
0.11,Fear,Happiness,0.0002629009534437108
0.11,Fear,Joy,0.0009317295019078674
0.11,Fear,Pride,0.00088571236405484
0.11,Fear,Sadness,0.0003623152292156505
0.11,Fear,Shame,0.0032535343273114707
0.11,Fear,Boredom,0.00016469616334673876
0.11,Fear,Fear,0.9886559833221623
0.11,Fear,Happiness,0.0004036746016545958
0.11,Fear,Joy,0.0020809486836534416
0.11,Fear,Pride,0.0017852347964363818
0.11,Fear,Sadness,0.0005265743461476225
0.11,Fear,Shame,0.00638288808659853
0.11,Fear,Boredom,0.00035776276021590045
0.11,Fear,Fear,0.9958948819162119
0.11,Fear,Happiness,0.00033848907357019256
0.11,Fear,Joy,0.0005371588473837823
0.11,Fear,Pride,0.0005785511430906455
0.11,Fear,Sadness,0.0003826245298539198
0.11,Fear,Shame,0.0019105317296741777
0.11,Fear,Boredom,0.00021633551235111537
0.11,Fear,Fear,0.9910508526737444
0.11,Fear,Happiness,0.00035858646772819985
0.11,Fear,Joy,0.000875457871233799
0.11,Fear,Pride,0.0009771512228426437
0.11,Fear,Sadness,0.0006020796726609715
0.11,Fear,Shame,0.005919536579438483
0.11,Happiness,Boredom,0.0037552921877362483
0.11,Happiness,Fear,0.001777500261171604
0.11,Happiness,Happiness,0.9697800375271431
0.11,Happiness,Joy,0.0034615630986876635
0.11,Happiness,Pride,0.00826987142865933
0.11,Happiness,Sadness,0.0016626423894018933
0.11,Happiness,Shame,0.011293093107200268
0.11,Happiness,Boredom,0.006682557704546507
0.11,Happiness,Fear,0.00035071063080633567
0.11,Happiness,Happiness,0.9888852821081445
0.11,Happiness,Joy,0.00020717989671613937
0.11,Happiness,Pride,0.001444964917125223
0.11,Happiness,Sadness,0.0006591223806839083
0.11,Happiness,Shame,0.0017701823619775678
0.11,Happiness,Boredom,0.004340383070420974
0.11,Happiness,Fear,0.0006920268167546754
0.11,Happiness,Happiness,0.9878017489692642
0.11,Happiness,Joy,0.00039036873066365283
0.11,Happiness,Pride,0.0015497112326181325
0.11,Happiness,Sadness,0.0030597351498017366
0.11,Happiness,Shame,0.0021660260304768877
0.11,Happiness,Boredom,0.0011564766287031783
0.11,Happiness,Fear,0.0003569644979139932
0.11,Happiness,Happiness,0.9956831679228676
0.11,Happiness,Joy,0.0003955190274092766
0.11,Happiness,Pride,0.001033900146514285
0.11,Happiness,Sadness,0.0007269323584831493
0.11,Happiness,Shame,0.0006470394181084045
0.11,Happiness,Boredom,0.0013883739418050795
0.11,Happiness,Fear,0.00017260132478386407
0.11,Happiness,Happiness,0.98519268283775
0.11,Happiness,Joy,0.0003155939679058935
0.11,Happiness,Pride,0.009311601488303178
0.11,Happiness,Sadness,0.00017005627715780338
0.11,Happiness,Shame,0.003449090162294226
0.11,Happiness,Boredom,0.0015622875202897354
0.11,Happiness,Fear,0.0002203385002368628
0.11,Happiness,Happiness,0.9958190503627473
0.11,Happiness,Joy,0.00020650242560488308
0.11,Happiness,Pride,0.001084144261876044
0.11,Happiness,Sadness,0.0002634538903551404
0.11,Happiness,Shame,0.0008442230388904572
0.11,Happiness,Boredom,0.0009795969932692924
0.11,Happiness,Fear,0.000256699893710626
0.11,Happiness,Happiness,0.9950529414800859
0.11,Happiness,Joy,0.00032812537015465684
0.11,Happiness,Pride,0.001917988852830963
0.11,Happiness,Sadness,0.00029692658034199276
0.11,Happiness,Shame,0.0011677208296065173
0.11,Happiness,Boredom,0.0011840508225158764
0.11,Happiness,Fear,0.00037259679334472487
0.11,Happiness,Happiness,0.9951690508429654
