C,Story,Emotion,Val
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Boredom,Boredom,0.9990715462237205
0.11,Boredom,Fear,0.00014809656627764732
0.11,Boredom,Happiness,1.4058062219220519e-05
0.11,Boredom,Joy,0.00019651314152116902
0.11,Boredom,Pride,0.00016320427492302574
0.11,Boredom,Sadness,0.00012229758343278277
0.11,Boredom,Shame,0.0002842841479055031
0.11,Fear,Boredom,0.00039706363977588767
0.11,Fear,Fear,0.9825644805987975
0.11,Fear,Happiness,0.000526741517238684
0.11,Fear,Joy,0.0004448546485835111
0.11,Fear,Pride,0.0006283088560884318
0.11,Fear,Sadness,0.005210488263613898
0.11,Fear,Shame,0.010228062475902177
0.11,Fear,Boredom,0.00040995660466905084
0.11,Fear,Fear,0.9813652411458945
0.11,Fear,Happiness,0.0005420714846159825
0.11,Fear,Joy,0.0004513378346230558
0.11,Fear,Pride,0.0006369451021527701
0.11,Fear,Sadness,0.00561543228078103
0.11,Fear,Shame,0.010979015547263715
0.11,Fear,Boredom,0.00039410636231085934
0.11,Fear,Fear,0.9828337584875537
0.11,Fear,Happiness,0.0005232209744795211
0.11,Fear,Joy,0.000443412908448464
0.11,Fear,Pride,0.000626340999080752
0.11,Fear,Sadness,0.005119795311421615
0.11,Fear,Shame,0.01005936495670518
0.11,Fear,Boredom,0.00040503230245644297
0.11,Fear,Fear,0.9818280948270528
0.11,Fear,Happiness,0.0005362198557522871
0.11,Fear,Joy,0.0004488238587699279
0.11,Fear,Pride,0.0006336351173089651
0.11,Fear,Sadness,0.00545894471214916
0.11,Fear,Shame,0.010689249326510367
0.11,Fear,Boredom,0.0003921913993422402
0.11,Fear,Fear,0.9830069628133224
0.11,Fear,Happiness,0.0005209403679229522
0.11,Fear,Joy,0.00044248839400216005
0.11,Fear,Pride,0.0006250691080815257
0.11,Fear,Sadness,0.005061506826300331
0.11,Fear,Shame,0.00995084109102834
0.11,Fear,Boredom,0.0003927010055897414
0.11,Fear,Fear,0.9829609596106533
0.11,Fear,Happiness,0.0005215473490254484
0.11,Fear,Joy,0.0004427337264411109
0.11,Fear,Pride,0.0006254074027283927
0.11,Fear,Sadness,0.0050769846859158065
0.11,Fear,Shame,0.009979666219646117
0.11,Fear,Boredom,0.00039500370098774897
0.11,Fear,Fear,0.9827522807811032
0.11,Fear,Happiness,0.0005242894047370327
